CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,22/04/2020,56.2202,62.2279,42.9108,55.7063,88.8429
AN,23/04/2020,72.9038,62.1732,132.1621,54.4115,39.1417
AN,24/04/2020,4.7131,62.1228,15.3875,56.0115,91.6911
AN,25/04/2020,40.9503,62.1149,95.044,56.1731,0
AN,26/04/2020,0,62.1194,0,56.1328,99.7675
AN,27/04/2020,63.5418,62.122,124.6205,56.1158,0
AN,28/04/2020,0,62.1221,0,56.1179,108.5321
AR,22/04/2020,71.6059,55.5862,61.1518,57.0247,61.3221
AR,23/04/2020,106.9475,28.9308,62.5158,51.8739,63.371
AR,24/04/2020,105.3079,0,60.8638,56.8552,60.3597
AR,25/04/2020,53.1925,0,62.9155,55.9188,64.9864
AR,26/04/2020,21.7902,30.5413,60.5152,57.0504,55.6695
AR,27/04/2020,7.9695,8.0591,63.2641,57.9913,62.7201
AR,28/04/2020,0,3.4117,60.2422,57.6911,47.082
AS,22/04/2020,41.1094,83.7478,45.3304,56.1705,76.7971
AS,23/04/2020,55.8341,66.3448,90.3961,48.9862,94.8429
AS,24/04/2020,65.4619,57.4303,20.1745,48.9067,118.0573
AS,25/04/2020,92.6167,79.2947,44.3899,69.1646,132.9289
AS,26/04/2020,113.3166,65.1738,0,52.6087,137.0716
AS,27/04/2020,104.4753,61.6344,70.957,32.2112,132.1933
AS,28/04/2020,41.6152,81.2507,0,26.5854,136.8685
IB,22/04/2020,56.8731,52.6217,65.7734,86.383,71.0686
IB,23/04/2020,59.2477,47.2526,66.0696,47.7757,73.1846
IB,24/04/2020,54.8729,38.2564,70.6958,85.6574,72.6918
IB,25/04/2020,61.9328,35.6259,69.406,14.6304,72.2727
IB,26/04/2020,46.3081,34.5242,74.5828,59.5998,72.2463
IB,27/04/2020,51.1008,27.5305,70.7213,9.3793,72.315
IB,28/04/2020,54.9711,20.0117,79.6158,28.1083,72.3378
CN,22/04/2020,64.7209,94.7756,57.5943,59.1819,64.5185
CN,23/04/2020,67.2239,47.2365,55.5972,54.5538,62.101
CN,24/04/2020,68.7183,195.5006,47.2443,45.6514,72.3119
CN,25/04/2020,69.0666,0,42.561,60.7765,53.2321
CN,26/04/2020,68.566,287.9698,54.0668,55.8412,51.0155
CN,27/04/2020,67.8433,0,64.8269,46.3264,65.376
CN,28/04/2020,67.4037,320.1476,63.5213,60.0538,43.6044
CB,22/04/2020,70.5428,55.577,65.071,72.3914,104.1504
CB,23/04/2020,73.8854,34.6693,62.5312,70.3195,171.6349
CB,24/04/2020,80.1846,0,67.6539,67.6123,191.5025
CB,25/04/2020,92.5971,23.8227,58.3266,67.1613,159.6355
CB,26/04/2020,104.7723,57.9445,65.0273,68.7386,99.2784
CB,27/04/2020,105.8577,74.6333,51.8425,69.3893,98.7687
CB,28/04/2020,102.534,55.4512,51.2435,69.0996,140.1094
CM,22/04/2020,21.3097,66.637,59.2796,59.0317,41.8273
CM,23/04/2020,0,67.8309,68.7006,60.5328,0
CM,24/04/2020,5.2886,69.5758,37.5471,58.3214,66.3192
CM,25/04/2020,19.9701,69.957,145.8474,60.0809,83.9786
CM,26/04/2020,5.126,70.0372,8.8749,57.9958,48.9742
CM,27/04/2020,9.5846,70.0384,135.3941,59.9348,0
CM,28/04/2020,0.54794,70.0358,0,57.8041,55.358
CL,22/04/2020,76.47,55.958,59.6906,61.3411,58.8446
CL,23/04/2020,72.4781,59.1263,57.7486,62.391,63.7183
CL,24/04/2020,77.6589,58.0186,57.4896,61.5284,44.0338
CL,25/04/2020,75.8343,58.6438,57.7514,62.8017,48.217
CL,26/04/2020,77.2763,58.3598,57.8556,61.5819,33.8064
CL,27/04/2020,76.7149,58.5031,57.9057,63.305,37.6043
CL,28/04/2020,77.0612,58.4343,57.9265,61.5082,25.7215
CT,22/04/2020,46.6937,93.4862,34.8946,66.6241,96.3924
CT,23/04/2020,55.1218,97.9921,15.1019,74.821,73.6818
CT,24/04/2020,49.1287,95.1652,37.8,93.9409,67.6366
CT,25/04/2020,53.4563,97.3642,8.3517,109.8367,58.3747
CT,26/04/2020,52.385,95.4959,9.0609,123.1057,67.7968
CT,27/04/2020,52.6229,96.835,17.3736,112.8412,120.6979
CT,28/04/2020,52.9077,95.6787,14.8784,97.8223,43.0116
CE,22/04/2020,48.9569,30.749,55.194,61.6026,47.1033
CE,23/04/2020,90.591,0,78.0134,64.6458,37.9521
CE,24/04/2020,54.4434,0,56.5815,58.8074,63.2049
CE,25/04/2020,96.1541,0,90.9258,78.5717,107.0681
CE,26/04/2020,59.6533,0,27.3253,48.8313,106.6531
CE,27/04/2020,96.9075,119.9689,85.6208,64.8068,104.682
CE,28/04/2020,75.5395,133.3837,0,39.2355,103.4859
VC,22/04/2020,52.0467,63.0949,68.9532,47.6672,68.5927
VC,23/04/2020,86.5398,63.1569,80.1323,59.7102,83.2866
VC,24/04/2020,60.2835,63.0224,78.5437,42.5545,83.3918
VC,25/04/2020,73.9174,62.9803,77.3154,59.866,104.7164
VC,26/04/2020,47.9942,62.9798,77.2408,32.2979,38.6423
VC,27/04/2020,77.289,62.9836,77.2991,65.7493,106.2557
