CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,17/04/2020,62.4855,46.0963,35.3376,55.9727,65.0048
AN,18/04/2020,64.9403,28.5267,0,59.1424,53.8569
AN,19/04/2020,64.8939,28.1755,0,49.6097,91.3106
AN,20/04/2020,70.2205,33.5928,10.2876,66.9318,25.5391
AN,21/04/2020,62.2431,25.201,35.2211,54.8559,152.1654
AN,22/04/2020,86.2139,32.2533,6.2784,66.1968,12.6601
AN,23/04/2020,93.7939,23.2009,0,42.2649,138.7926
AR,17/04/2020,64.8714,82.2505,55.9311,38.2384,39.1717
AR,18/04/2020,67.2496,58.1836,53.9311,75.7932,72.7262
AR,19/04/2020,66.7448,126.6864,54.3905,0,0
AR,20/04/2020,66.6985,23.8414,56.4349,53.7287,21.2846
AR,21/04/2020,66.7035,105.8184,56.7083,4.0645,0
AR,22/04/2020,66.7041,4.7311,55.3143,56.0615,6.1183
AR,23/04/2020,66.704,105.818,54.0333,0,0
AS,17/04/2020,52.4494,38.914,57.1027,41.8314,45.4653
AS,18/04/2020,48.3552,52.6664,53.0171,105.7428,67.9169
AS,19/04/2020,33.9524,13.0195,41.5213,0,57.182
AS,20/04/2020,81.3938,90.4495,19.9665,108.2586,69.7344
AS,21/04/2020,86.4746,0,5.3567,0,43.5732
AS,22/04/2020,75.3701,45.5252,42.607,101.075,126.006
AS,23/04/2020,50.457,0,26.1254,0,61.2931
IB,17/04/2020,64.8518,72.0277,49.147,44.1237,59.8513
IB,18/04/2020,52.3683,53.8282,8.6423,27.2385,59.3904
IB,19/04/2020,31.4943,74.0232,0,25.8355,65.7302
IB,20/04/2020,15.0469,65.4606,17.3932,18.6397,48.756
IB,21/04/2020,11.3387,76.4511,65.4366,21.9327,69.552
IB,22/04/2020,10.2449,45.1113,82.9839,23.3289,0.19782
IB,23/04/2020,19.104,50.0036,81.0205,25.3798,80.6571
CN,17/04/2020,54.6197,54.5796,44.2975,56.3423,54.157
CN,18/04/2020,40.6716,48.86,41.2217,54.7666,58.703
CN,19/04/2020,16.1459,44.1793,46.1069,51.476,50.7881
CN,20/04/2020,0,49.3424,54.4481,40.4442,62.5464
CN,21/04/2020,0,49.1906,58.9907,16.7304,39.3378
CN,22/04/2020,0,47.111,44.1695,8.3287,72.6211
CN,23/04/2020,41.502,46.7439,45.4963,12.8265,21.0257
CB,17/04/2020,72.2429,76.7592,52.5357,53.4066,55.4953
CB,18/04/2020,73.3435,56.0752,52.4625,59.1064,56.7021
CB,19/04/2020,68.8967,106.1736,52.4901,58.5682,55.6035
CB,20/04/2020,76.0886,14.2807,52.4923,51.4877,56.5823
CB,21/04/2020,62.7327,82.5473,52.4918,65.2769,55.7141
CB,22/04/2020,93.4248,0,52.4917,75.0453,56.4937
CB,23/04/2020,87.4954,77.9283,52.4917,67.0198,55.8015
CM,17/04/2020,54.2364,35.001,62.9597,51.8151,62.7843
CM,18/04/2020,59.1129,0,65.6096,40.084,59.9285
CM,19/04/2020,52.377,0,75.5403,49.4312,72.6306
CM,20/04/2020,73.4697,191.0424,76.0035,90.8656,18.5741
CM,21/04/2020,74.4594,36.2273,76.8786,128.9754,81.583
CM,22/04/2020,123.5565,0,76.8581,83.1208,0
CM,23/04/2020,96.2875,26.6468,76.9733,67.4202,72.0563
CL,17/04/2020,55.7602,55.986,55.8764,52.3898,2.8624
CL,18/04/2020,57.4416,57.8737,54.9629,57.9235,164.909
CL,19/04/2020,55.0976,55.524,53.9937,48.2281,0
CL,20/04/2020,58.0782,59.2792,53.1567,54.8913,150.7554
CL,21/04/2020,53.5524,54.5902,52.6756,51.1817,0
CL,22/04/2020,59.1683,61.2765,52.7551,54.7469,142.8391
CL,23/04/2020,49.2526,54.4278,53.3369,50.5846,0
CT,17/04/2020,52.6009,66.0239,47.546,47.6749,58.4815
CT,18/04/2020,51.9728,65.8702,61.3038,28.2611,58.5064
CT,19/04/2020,52.9866,69.6515,47.5581,0,57.8008
CT,20/04/2020,53.0204,69.611,68.9549,0,57.6785
CT,21/04/2020,52.8459,69.7456,43.8397,0,58.2089
CT,22/04/2020,52.848,69.7448,62.5056,0,58.3107
CT,23/04/2020,52.879,69.7465,41.0623,0,57.9962
CE,17/04/2020,47.4823,51.1935,45.6233,72.6405,56.219
CE,18/04/2020,45.1929,70.5783,78.6377,67.443,52.9687
CE,19/04/2020,57.1196,38.3447,50.7022,98.8491,51.3208
CE,20/04/2020,28.1198,121.1704,93.1222,53.4434,54.5528
CE,21/04/2020,27.4544,0,47.7908,134.633,63.5349
CE,22/04/2020,0,171.9424,70.242,42.3317,68.5325
CE,23/04/2020,59.9001,0,54.0255,133.9331,34.5669
VC,17/04/2020,57.7174,39.9326,47.822,64.3202,52.4972
VC,18/04/2020,57.4929,40.8377,73.3955,87.6081,72.162
VC,19/04/2020,56.915,37.0373,14.1083,107.3309,56.8288
VC,20/04/2020,56.7148,36.0186,75.6007,101.8657,87.0926
VC,21/04/2020,57.0099,37.1788,33.6302,62.062,63.4417
VC,22/04/2020,57.3076,37.589,21.0161,65.9126,87.928
VC,23/04/2020,57.2809,36.3213,9.9077,75.3867,63.5197
EX,17/04/2020,51.5232,53.4289,37.0567,58.1734,29.0736
EX,18/04/2020,60.2155,65.2402,0,58.1681,77.5883
EX,19/04/2020,43.7244,41.6457,4.5883,56.1014,77.8247
EX,20/04/2020,80.5715,56.0916,96.3427,53.4798,24.6701
EX,21/04/2020,0,13.1843,40.3303,52.8826,87.9276
EX,22/04/2020,108.4522,8.2577,0,53.5702,76.3225
EX,23/04/2020,0,2.3683,0,54.0784,29.8081
GA,17/04/2020,67.5213,50.035,42.5232,57.863,44.6706
GA,18/04/2020,90.5627,49.7194,72.1424,58.0863,51.2913
GA,19/04/2020,115.0785,45.8963,2.2634,58.0304,59.4572
GA,20/04/2020,94.7496,41.2663,133.8961,57.9713,56.1311
GA,21/04/2020,114.7222,33.7707,0,57.9561,38.3519
GA,22/04/2020,93.7274,24.5898,106.3845,57.9602,69.6356
GA,23/04/2020,114.5056,43.2413,0,57.9646,70.3308
MD,17/04/2020,76.5752,71.491,69.7516,51.0475,58.266
MD,18/04/2020,27.2648,45.0355,40.3228,51.9631,63.5637
MD,19/04/2020,137.7095,89.6259,73.0873,56.3378,71.7573
MD,20/04/2020,0,0,36.3085,52.8476,68.83
MD,21/04/2020,144.9567,106.6272,48.7533,51.566,72.3031
MD,22/04/2020,0,0,59.9397,53.5427,71.8259
MD,23/04/2020,144.7917,91.2249,51.6784,54.6108,72.5034
ML,17/04/2020,58.4661,66.3811,39.9425,53.4827,30.1386
ML,18/04/2020,59.1698,82.1084,39.9622,50.706,66.506
ML,19/04/2020,59.7956,85.4978,49.9079,51.985,0.056005
ML,20/04/2020,59.9746,65.6385,61.6931,54.3388,62.4121
ML,21/04/2020,60.1054,57.8987,58.4047,54.7373,0
ML,22/04/2020,60.1344,59.106,32.797,53.8002,57.6842
ML,23/04/2020,60.1572,70.1536,21.4089,53.2179,0
MC,17/04/2020,58.7533,44.5637,26.6489,54.7598,63.3304
MC,18/04/2020,59.4875,60.1438,69.171,45.1573,66.4266
MC,19/04/2020,62.797,48.4323,0,32.7524,65.7281
MC,20/04/2020,61.1238,43.5169,103.5351,41.7483,62.601
MC,21/04/2020,74.6631,55.6148,0,70.1884,57.9455
