CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,17/04/2020,18.5683,64.0675,0,32.9436,57.2052
AN,18/04/2020,112.2546,61.9933,80.6,70.4456,57.2574
AN,19/04/2020,0,64.5629,137.7986,2.9994,57.2263
AN,20/04/2020,100.6901,63.9315,0,85.5131,57.1807
AN,21/04/2020,0,64.3426,0,0,57.1562
AN,22/04/2020,100.0253,64.2335,60.3766,87.8555,57.1557
AN,23/04/2020,0,64.2877,137.5956,0,57.1661
AR,17/04/2020,51.688,48.8361,52.3054,65.072,53.2166
AR,18/04/2020,44.9973,30.8001,67.5331,67.1747,53.2294
AR,19/04/2020,48.8745,25.689,10.875,67.1605,53.1456
AR,20/04/2020,53.3913,34.6669,107.4926,67.1082,53.1517
AR,21/04/2020,54.2868,41.3552,0,67.0997,53.1529
AR,22/04/2020,50.4915,48.7531,144.2755,67.0991,53.1527
AR,23/04/2020,45.7381,66.111,0,67.0992,53.1527
AS,17/04/2020,27.114,67.5198,54.9412,57.2448,39.0771
AS,18/04/2020,0,61.9805,63.8317,56.5742,92.6104
AS,19/04/2020,0,81.649,27.4058,55.1618,26.4926
AS,20/04/2020,32.313,66.6085,67.6826,53.5747,168.7086
AS,21/04/2020,60.9331,76.4165,0,52.5429,0
AS,22/04/2020,92.1199,60.1775,60.5527,52.3942,144.725
AS,23/04/2020,33.9292,77.8528,76.9663,52.9726,0
IB,17/04/2020,55.7724,73.6364,54.3933,56.1868,54.285
IB,18/04/2020,55.8664,49.5083,64.8526,57.8416,38.3199
IB,19/04/2020,55.8019,43.0587,43.8085,57.2114,18.9615
IB,20/04/2020,55.8095,44.9871,78.5711,59.9283,11.3101
IB,21/04/2020,55.8057,36.6042,15.165,60.6576,12.1889
IB,22/04/2020,55.8062,49.1546,117.7696,65.2052,4.0849
IB,23/04/2020,55.806,15.0188,1.1343,67.8217,3.7398
CN,17/04/2020,50.6997,60.6589,46.5989,29.4711,68.0168
CN,18/04/2020,55.9384,69.2887,29.4801,82.9516,19.7061
CN,19/04/2020,47.2387,81.1723,19.8404,13.0637,69.1718
CN,20/04/2020,57.7366,88.1964,13.802,108.2738,39.9005
CN,21/04/2020,35.2982,84.6306,3.2414,0,96.3701
CN,22/04/2020,83.3223,80.8622,0,130.4258,29.463
CN,23/04/2020,5.1361,80.74,0,0,35.398
CB,17/04/2020,37.6915,57.4744,56.3112,54.7817,10.9132
CB,18/04/2020,40.8458,57.8987,56.814,48.9572,118.6753
CB,19/04/2020,46.2022,58.0695,56.5455,32.9381,62.8197
CB,20/04/2020,59.1906,58.368,56.7893,55.1404,0
CB,21/04/2020,47.1427,58.3349,56.6774,79.8445,106.1125
CB,22/04/2020,37.1453,58.7016,56.7915,53.5604,0
CB,23/04/2020,56.8295,58.3662,56.7442,21.4316,129.8924
CM,17/04/2020,74.8764,56.3064,63.6587,74.5216,55.9396
CM,18/04/2020,47.727,57.1438,79.1599,128.175,57.2099
CM,19/04/2020,64.6102,56.5021,81.331,169.4902,55.8048
CM,20/04/2020,38.4612,57.1706,81.5547,137.3831,57.4648
CM,21/04/2020,57.0785,56.6372,81.5761,0.38601,55.6433
CM,22/04/2020,52.5759,57.1563,81.5793,0,57.7957
CM,23/04/2020,79.295,56.7341,81.5797,0,55.47
