CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,23/04/2020,52.1593,36.9713,2.051,92.3404,71.9264
AN,24/04/2020,96.8888,46.0146,28.4027,116.2857,45.1116
AN,25/04/2020,0,62.355,48.9083,92.1508,70.467
AN,26/04/2020,63.3656,63.7461,133.9045,45.4351,19.4133
AN,27/04/2020,19.8506,36.8088,17.1646,18.1249,0
AN,28/04/2020,27.4892,44.4585,0,84.7725,0
AN,29/04/2020,0,57.4643,12.5575,42.6631,0
AR,23/04/2020,41.2056,66.5945,71.8584,81.608,70.6477
AR,24/04/2020,67.4651,67.0015,116.0563,129.2588,83.768
AR,25/04/2020,2.755,67.2907,119.5425,144.0617,100.2398
AR,26/04/2020,123.3759,67.3057,117.3949,100.6879,62.655
AR,27/04/2020,0,67.3128,113.6992,76.1094,69.4867
AR,28/04/2020,154.2376,67.3133,113.074,67.7547,81.9796
AR,29/04/2020,0,67.3134,114.901,76.1114,101.4951
AS,23/04/2020,57.2266,70.3252,51.8141,86.1506,66.4917
AS,24/04/2020,62.5126,88.8293,51.3487,56.2498,66.0769
AS,25/04/2020,72.8276,91.6194,46.4867,93.342,70.9206
AS,26/04/2020,70.1577,98.0871,45.6626,47.06,66.8113
AS,27/04/2020,42.3066,96.1802,42.8925,94.4007,78.4969
AS,28/04/2020,63.4664,101.6891,42.1404,41.2472,54.8082
AS,29/04/2020,86.2588,97.6848,42.1884,94.4251,103.5328
IB,23/04/2020,66.6334,48.1602,69.8717,56.9704,67.7659
IB,24/04/2020,75.0621,62.13,68.8683,61.0944,49.199
IB,25/04/2020,83.6962,56.228,68.4049,59.4344,96.832
IB,26/04/2020,80.1437,52.7486,68.6707,61.8981,0
IB,27/04/2020,53.2496,52.8726,68.8275,58.6021,112.1385
IB,28/04/2020,0,57.5285,68.7555,62.129,0
IB,29/04/2020,0,61.4521,68.7039,58.1007,31.3425
CN,23/04/2020,61.3002,32.6782,49.7004,44.8349,55.9659
CN,24/04/2020,66.6892,14.4721,110.588,31.2313,55.5794
CN,25/04/2020,57.3005,87.7768,6.5456,0,56.0721
CN,26/04/2020,90.6001,0,73.5474,0,55.9386
CN,27/04/2020,44.1147,82.1868,42.3757,0,56.0575
CN,28/04/2020,66.3437,0,137.3755,17.3063,56.0204
CN,29/04/2020,42.5911,69.4279,22.3375,3.2655,56.0467
CB,23/04/2020,60.499,61.0764,57.3384,71.5102,75.9597
CB,24/04/2020,41.4665,50.5992,47.1151,78.7934,79.4051
CB,25/04/2020,0,40.0743,33.4424,83.5123,76.6019
CB,26/04/2020,0,16.2572,20.4415,90.0273,68.6231
CB,27/04/2020,38.3607,53.0519,57.3816,94.6195,67.0041
CB,28/04/2020,68.2591,47.1311,77.484,105.326,77.3699
CB,29/04/2020,121.2503,22.8537,122.5789,99.5231,79.0658
CM,23/04/2020,67.399,58.4437,94.5602,67.314,51.0268
CM,24/04/2020,75.0701,53.1448,8.8592,55.017,34.2559
CM,25/04/2020,91.5454,59.6875,151.0296,89.6036,0
CM,26/04/2020,89.9505,60.4403,0,29.2166,0
CM,27/04/2020,93.3323,60.2295,176.0908,76.0014,13.586
CM,28/04/2020,95.3568,59.119,0,0,16.8661
CM,29/04/2020,94.0303,58.6643,179.5416,15.8166,26.3433
CL,23/04/2020,69.8695,41.158,64.5267,99.0337,79.8841
CL,24/04/2020,71.5442,39.1278,64.4635,39.4632,126.8421
CL,25/04/2020,81.7666,38.9199,69.7436,67.1123,145.4354
CL,26/04/2020,71.9619,42.6664,56.8752,0,76.9072
CL,27/04/2020,110.0233,54.4845,65.2807,23.9796,0
CL,28/04/2020,77.7137,79.4451,57.9904,0,71.214
CL,29/04/2020,109.5319,59.6219,71.8265,0,8.3239
CT,23/04/2020,49.7566,63.8487,55.823,50.0865,56.6061
CT,24/04/2020,69.7211,63.5949,57.6609,62.4492,57.0656
CT,25/04/2020,39.6902,62.424,44.5959,44.6888,58.4644
CT,26/04/2020,45.1434,61.6574,110.1408,67.6001,58.9827
CT,27/04/2020,53.2721,62.1219,48.629,47.3969,58.5364
CT,28/04/2020,59.729,63.2812,59.1384,55.1422,58.1792
CT,29/04/2020,48.6198,64.0032,10.6724,54.0336,58.2337
CE,23/04/2020,61.8438,100.2946,55.4797,71.7115,97.8415
CE,24/04/2020,61.182,130.2412,64.1716,54.527,84.1221
CE,25/04/2020,60.031,135.2849,54.9932,117.5529,30.7123
CE,26/04/2020,57.7503,138.3193,65.6278,87.685,70.4905
CE,27/04/2020,50.8727,142.5441,54.8606,65.8124,56.289
CE,28/04/2020,31.3046,142.7962,66.3652,85.4747,72.9203
CE,29/04/2020,28.0851,144.4187,54.8238,94.4716,84.2723
VC,23/04/2020,30.7483,62.4961,51.3418,66.1703,78.375
VC,24/04/2020,78.3469,62.5206,52.2019,69.332,55.9592
VC,25/04/2020,0,62.5109,54.1386,67.1987,73.2663
VC,26/04/2020,107.6259,62.5114,55.4798,64.6169,65.3739
VC,27/04/2020,0.75754,62.5112,54.6951,62.152,77.8573
VC,28/04/2020,77.8111,62.5112,52.4263,58.8918,62.9191
VC,29/04/2020,15.5046,62.5112,51.2426,49.4115,77.7996
EX,23/04/2020,67.7864,38.6202,63.9699,66.679,51.6767
EX,24/04/2020,95.2564,106.5768,65.1572,67.083,39.7446
EX,25/04/2020,117.1714,10.3054,66.6555,70.6403,20.3697
EX,26/04/2020,124.8546,92.4034,67.711,69.3305,0
EX,27/04/2020,125.9645,20.9486,65.3934,72.1329,22.4981
EX,28/04/2020,129.1268,68.5824,51.0067,70.5299,0
EX,29/04/2020,128.5136,0,3.9446,72.4656,18.6395
GA,23/04/2020,50.9498,70.6575,55.9851,54.5512,59.3082
GA,24/04/2020,48.5658,81.988,44.0489,34.2961,61.5078
GA,25/04/2020,68.5111,88.5514,65.833,11.4026,58.5504
GA,26/04/2020,23.2913,82.3836,122.936,9.3611,60.3788
GA,27/04/2020,65.7728,76.05,39.9648,5.2458,58.6653
GA,28/04/2020,14.4939,74.464,116.2863,4.5582,59.7002
GA,29/04/2020,78.0996,77.2107,62.9311,8.6541,58.8692
MD,23/04/2020,54.7768,65.7047,82.9615,64.0857,58.9112
MD,24/04/2020,55.3292,64.9789,126.1033,64.1065,58.4419
MD,25/04/2020,62.1483,71.306,128.1152,64.1903,58.7506
MD,26/04/2020,62.6252,63.5911,119.5328,64.2176,58.7901
MD,27/04/2020,54.9052,78.595,118.3442,64.2551,58.7868
MD,28/04/2020,55.3642,58.0364,119.2879,64.2744,58.7855
MD,29/04/2020,61.9026,83.2825,119.4152,64.2942,58.7855
ML,23/04/2020,64.7597,66.3443,40.315,36.6282,53.8019
ML,24/04/2020,61.8562,62.1617,12.1971,38.0804,22.2296
ML,25/04/2020,69.793,76.6569,0,32.7478,0
ML,26/04/2020,34.6815,39.5289,3.6988,30.7496,0
ML,27/04/2020,65.7865,93.725,52.8365,36.7291,8.0856
ML,28/04/2020,26.7528,10.1227,53.3986,35.787,107.5769
ML,29/04/2020,85.3525,95.2639,58.5628,31.7217,208.0886
MC,23/04/2020,36.5133,14.8877,132.0688,62.9562,48.3501
MC,24/04/2020,111.3212,69.6042,135.9864,64.2553,0
MC,25/04/2020,21.8136,0,119.8918,63.2616,0
MC,26/04/2020,207.8797,76.7705,75.9413,65.2735,0
MC,27/04/2020,21.1851,23.9778,0,62.8564,0
MC,28/04/2020,209.5391,57.5736,0,66.1159,0
MC,29/04/2020,19.8147,74.1766,0,61.4289,0
NC,23/04/2020,75.8818,38.9663,74.4101,24.7711,84.1498
NC,24/04/2020,95.4242,148.2115,72.9009,0,96.6475
NC,25/04/2020,103.7851,15.0421,88.3289,74.4416,96.3918
NC,26/04/2020,69.032,117.9732,58.4755,0,78.1436
NC,27/04/2020,82.9125,11.7532,33.6118,87.9165,85.7491
NC,28/04/2020,96.4386,117.656,57.8461,0,86.554
NC,29/04/2020,83.9007,6.8556,29.9236,33.7865,76.1789
PV,23/04/2020,63.2598,85.7805,44.2632,47.6292,36.2197
PV,24/04/2020,63.0243,108.675,54.5607,19.1744,33.1017
PV,25/04/2020,62.8516,112.3918,63.0076,22.9355,47.6502
PV,26/04/2020,62.8752,109.1536,50.2847,0,53.9116
PV,27/04/2020,62.9443,95.5917,52.954,115.8313,71.5541
PV,28/04/2020,62.9599,72.0888,63.4399,0,80.1344
PV,29/04/2020,62.9412,29.7529,52.8106,123.2501,45.1781
RI,23/04/2020,57.8686,67.7344,46.8233,48.0754,63.2913
RI,24/04/2020,56.5659,60.9473,131.0377,39.2635,63.7361
RI,25/04/2020,58.0598,88.4444,0,44.6293,63.9428
RI,26/04/2020,58.103,40.7368,207.2788,59.7987,64.2036
RI,27/04/2020,58.2079,63.4101,0,36.5777,64.3437
RI,28/04/2020,58.2143,0,207.2789,87.1734,64.5134
RI,29/04/2020,58.2102,88.1886,0,0,64.6092
