CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,27/04/2020,67.9712,30.3024,36.8471,79.4047,76.9876
AN,28/04/2020,69.3828,38.2307,18.3457,80.102,82.1294
AN,29/04/2020,72.1144,3.7024,52.4193,77.7658,82.5215
AN,30/04/2020,78.447,7.9788,9.0789,77.2369,82.7495
AN,01/05/2020,86.8447,32.3292,44.3788,78.0374,82.7989
AN,02/05/2020,87.7682,21.0743,7.9986,78.1126,82.8359
AN,03/05/2020,98.6899,33.2672,75.8356,77.9959,82.8416
AR,27/04/2020,70.1418,64.1577,110.1709,74.4306,57.5948
AR,28/04/2020,66.7279,53.5723,68.9677,72.6386,65.9256
AR,29/04/2020,101.1862,39.0695,98.9542,84.7545,59.9358
AR,30/04/2020,22.6492,22.946,68.3584,86.1592,62.1316
AR,01/05/2020,58.9265,59.9286,100.0673,78.078,59.508
AR,02/05/2020,52.2471,33.5034,68.5764,78.3295,60.4157
AR,03/05/2020,71.4035,40.2261,99.7928,82.061,60.4536
AS,27/04/2020,87.8729,72.9399,79.6776,73.2001,91.8352
AS,28/04/2020,70.7962,90.2075,84.8837,74.892,137.3258
AS,29/04/2020,96.7828,97.0034,82.4002,88.2634,104.5048
AS,30/04/2020,62.1046,114.1486,76.8547,79.888,93.9189
AS,01/05/2020,123.4819,127.2311,73.2966,91.0862,93.9684
AS,02/05/2020,100.8186,129.9345,77.9628,81.6459,94.0704
AS,03/05/2020,90.3018,120.1823,82.1241,91.0893,94.0709
IB,27/04/2020,102.5843,73.5707,55.9409,65.575,55.0249
IB,28/04/2020,73.7028,86.2177,69.7269,67.0713,57.9191
IB,29/04/2020,109.3377,101.0025,50.1812,65.3449,71.5115
IB,30/04/2020,105.1797,101.6448,47.7796,67.3164,61.7195
IB,01/05/2020,106.6787,101.6144,51.8575,65.162,57.4311
IB,02/05/2020,106.2547,101.6107,51.7017,67.714,60.1824
IB,03/05/2020,106.3481,101.6108,56.8905,64.9725,71.0659
CN,27/04/2020,56.5551,50.4547,80.1753,46.5127,56.805
CN,28/04/2020,62.146,71.0084,52.346,31.7454,14.9741
CN,29/04/2020,64.5612,0,120.8005,88.4045,23.2485
CN,30/04/2020,62.4492,45.1683,75.8918,60.1198,10.6767
CN,01/05/2020,63.3314,38.316,215.6081,74.2979,52.1758
