CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,16/04/2020,58.9987,55.0668,39.8207,54.5466,52.0303
AN,17/04/2020,67.287,53.9399,58.1279,49.6451,49.9584
AN,18/04/2020,88.5414,54.6269,46.4426,35.3532,50.6916
AN,19/04/2020,110.6592,55.0446,68.8488,68.7587,53.683
AN,20/04/2020,128.2694,54.8547,27.391,65.0209,56.9339
AN,21/04/2020,125.1117,54.5694,17.1018,57.9417,53.9721
AN,22/04/2020,116.2592,54.6407,55.137,45.0856,50.1166
AR,16/04/2020,80.8453,40.5077,37.4133,56.7513,33.6057
AR,17/04/2020,147.0949,63.4828,38.1691,57.4618,45.8613
AR,18/04/2020,153.8571,36.3483,37.4773,58.9225,34.1167
AR,19/04/2020,100.6239,72.3841,34.4161,64.8651,46.8716
AR,20/04/2020,37.9543,50.2058,36.0937,84.5873,35.3341
AR,21/04/2020,0,97.0558,45.374,91.4962,48.1893
AR,22/04/2020,0,50.0174,54.0821,81.9065,37.4862
AS,16/04/2020,87.7139,36.4396,45.1792,50.2381,63.3269
AS,17/04/2020,90.4233,48.6296,46.2058,38.6305,79.075
AS,18/04/2020,84.5469,42.9932,57.3686,46.1112,81.1992
AS,19/04/2020,58.3072,45.6033,49.4552,34.8197,52.4444
AS,20/04/2020,51.4617,43.7842,45.281,66.2619,19.9347
AS,21/04/2020,62.6074,45.357,51.427,39.8514,50.7546
AS,22/04/2020,101.543,43.8889,50.8122,54.0237,0
IB,16/04/2020,59.0793,8.6889,44.6258,41.9972,58.4181
IB,17/04/2020,65.4006,70.1037,22.7793,51.4914,67.1656
IB,18/04/2020,72.8347,0,50.9592,63.6888,69.9372
IB,19/04/2020,85.6808,24.8821,42.8515,46.3056,75.1067
IB,20/04/2020,107.6797,0,27.1033,48.1293,72.5043
IB,21/04/2020,80.4178,34.8967,64.6251,55.2088,73.9858
IB,22/04/2020,34.3612,0,34.7162,51.1946,74.7446
CN,16/04/2020,26.146,32.9328,88.4927,65.2907,68.0988
CN,17/04/2020,0,42.3068,100.997,49.668,76.4441
CN,18/04/2020,0,29.3624,110.7336,77.2458,76.4937
CN,19/04/2020,0,37.3244,109.0814,50.2961,76.9202
CN,20/04/2020,0,31.2358,84.6734,78.4925,76.871
CN,21/04/2020,0,37.5521,107.2669,50.895,76.9413
CN,22/04/2020,0.45074,35.6939,113.3306,78.7155,76.9235
CB,16/04/2020,56.5599,52.0024,40.5049,56.5428,68.9306
CB,17/04/2020,55.6239,43.6036,5.9121,56.9097,41.3452
CB,18/04/2020,54.0474,39.3819,44.8532,57.0117,98.9876
CB,19/04/2020,54.0683,40.1138,75.1853,57.0757,4.2886
CB,20/04/2020,56.1378,40.2588,41.6611,57.0824,30.6668
CB,21/04/2020,57.7648,40.4595,13.6002,57.0902,53.5546
CB,22/04/2020,56.3753,40.6186,21.6409,57.09,0.48103
CM,16/04/2020,30.1685,52.5917,64.2094,51.7801,57.0783
CM,17/04/2020,0,40.4736,55.8161,49.9746,59.049
CM,18/04/2020,8.9588,0,88.0738,42.4249,65.6385
CM,19/04/2020,15.4205,0,21.9035,34.844,96.1189
CM,20/04/2020,21.6653,0,15.2878,59.9022,88.5219
CM,21/04/2020,19.4873,71.0461,27.599,55.1485,72.3496
CM,22/04/2020,14.6206,111.2211,0,52.9906,54.7157
CL,16/04/2020,51.4768,31.1063,0,47.9866,39.3392
CL,17/04/2020,60.9971,0,66.4371,39.7794,26.4011
CL,18/04/2020,46.5099,60.7421,95.2594,36.7867,24.8651
CL,19/04/2020,71.3496,46.262,0,68.8689,17.4156
CL,20/04/2020,80.9259,0,0,0,0
CL,21/04/2020,52.7452,66.1652,10.0287,71.8756,0
CL,22/04/2020,89.3006,46.1402,1.7626,0,34.2426
CT,16/04/2020,45.3407,68.0375,54.5974,52.1129,65.5786
CT,17/04/2020,54.5721,90.1656,47.207,48.5188,92.6946
CT,18/04/2020,54.222,104.8034,37.7312,46.4892,96.5361
CT,19/04/2020,45.9258,109.0632,44.5605,43.7691,80.4609
CT,20/04/2020,55.2019,114.5756,31.3399,42.8287,0
CT,21/04/2020,54.9644,118.147,43.7875,46.6111,16.1096
CT,22/04/2020,44.9983,118.4531,23.7735,38.4007,53.1695
CE,16/04/2020,14.5308,54.8857,47.048,57.8041,0
CE,17/04/2020,27.8191,51.5445,60.2862,57.7644,109.9841
CE,18/04/2020,0,41.1199,38.3532,57.9655,11.9352
CE,19/04/2020,0,60.9368,77.1758,57.9393,18.723
CE,20/04/2020,0,77.3639,8.3278,57.9665,32.2438
CE,21/04/2020,0,70.2829,92.5824,57.9603,5.0587
CE,22/04/2020,0,95.2949,9.5761,57.9643,109.6569
VC,16/04/2020,47.6915,50.1041,55.3195,52.7445,47.1795
VC,17/04/2020,33.6549,38.7375,55.1431,60.7285,58.6132
VC,18/04/2020,26.9974,3.4529,54.6584,47.9942,45.225
VC,19/04/2020,0,0,54.1208,60.8874,74.4865
VC,20/04/2020,0,0,53.4656,35.5832,10.8675
VC,21/04/2020,0,0,52.7411,70.911,66.9249
VC,22/04/2020,0,0,52.0337,19.2418,0
EX,16/04/2020,43.9872,62.9197,62.6802,55.2056,55.0671
EX,17/04/2020,35.0066,65.2741,61.5815,53.3093,52.3828
EX,18/04/2020,44.6534,71.6039,62.8827,49.8117,49.6161
EX,19/04/2020,69.6847,73.3249,62.7435,45.2319,48.7319
EX,20/04/2020,88.8292,84.1152,62.8316,39.6631,48.3993
EX,21/04/2020,94.4817,86.673,62.8216,23.1236,48.3648
EX,22/04/2020,55.815,94.4719,62.825,0,48.3491
GA,16/04/2020,75.2036,77.3427,63.7819,52.9937,49.4021
GA,17/04/2020,71.099,69.3741,55.6097,42.2385,56.1043
GA,18/04/2020,104.0137,82.1318,86.2728,38.3408,69.0236
GA,19/04/2020,72.8098,70.8702,15.7827,37.2348,76.8515
GA,20/04/2020,96.4316,82.1892,0,36.4282,82.7419
GA,21/04/2020,79.7433,71.8621,9.2992,36.0558,101.7672
GA,22/04/2020,91.8948,82.1803,81.0204,35.5901,104.7238
MD,16/04/2020,64.7152,44.2669,52.9362,63.6109,48.0606
MD,17/04/2020,73.5094,65.6993,52.9726,68.3338,42.8447
MD,18/04/2020,73.6414,42.5834,52.4907,67.9967,36.4926
MD,19/04/2020,64.3593,74.7416,52.5465,74.6797,25.9028
MD,20/04/2020,56.3052,39.4992,52.4405,64.8526,14.9018
MD,21/04/2020,60.6192,96.2611,52.4658,86.8899,0
MD,22/04/2020,67.6019,12.8273,52.4397,27.6096,9.7532
ML,16/04/2020,68.4405,71.1671,24.319,51.753,51.2083
ML,17/04/2020,88.4688,72.2979,7.1006,64.8356,73.0324
ML,18/04/2020,98.0575,72.3662,3.1879,1.3631,0
ML,19/04/2020,72.8915,72.3652,0,126.6768,54.356
ML,20/04/2020,67.6057,72.3651,2.0004,0,87.5588
ML,21/04/2020,67.7282,72.3651,4.1933,147.9351,0
ML,22/04/2020,68.362,72.3651,0,0,58.0668
MC,16/04/2020,55.6371,42.9718,44.8166,74.3197,59.2879
MC,17/04/2020,55.9405,60.84,27.7657,59.8117,68.6325
MC,18/04/2020,55.9549,42.9631,52.3744,67.1873,81.9897
MC,19/04/2020,56.0782,55.212,79.5671,56.6554,90.3174
