CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,24/04/2020,52.7347,66.2413,56.8542,85.0837,51.0495
AN,25/04/2020,46.4089,64.2148,57.1133,26.3906,58.9474
AN,26/04/2020,58.6993,80.6558,59.7797,138.6445,51.7436
AN,27/04/2020,76.8001,51.6242,59.9211,36.2301,62.3585
AN,28/04/2020,72.6204,90.7337,59.7614,130.2246,39.863
AN,29/04/2020,53.6197,17.9596,59.7608,36.2277,58.8155
AN,30/04/2020,42.6961,69.3283,59.7844,125.4896,22.4094
AR,24/04/2020,53.9022,65.8,59.5855,62.5737,62.1747
AR,25/04/2020,54.7055,69.1057,65.6568,62.6467,65.244
AR,26/04/2020,65.9373,72.6754,51.2676,62.8267,61.032
AR,27/04/2020,61.4404,73.5752,89.3549,62.804,70.6516
AR,28/04/2020,53.9448,72.3941,19.863,62.803,61.3913
AR,29/04/2020,57.3507,70.0168,117.7311,62.8039,109.297
AR,30/04/2020,58.2125,66.3698,51.7225,62.8038,0
AS,24/04/2020,56.9465,53.1182,55.7014,55.9326,63.8879
AS,25/04/2020,42.7418,73.733,78.6382,45.9042,63.3299
AS,26/04/2020,0,59.1314,12.42,28.2879,62.6439
AS,27/04/2020,0,64.3056,52.3991,31.6127,61.6528
AS,28/04/2020,3.9355,56.5772,43.3011,32.2216,59.8849
AS,29/04/2020,48.2345,71.8781,67.1143,34.2017,55.4389
AS,30/04/2020,146.5095,69.5604,9.8971,33.1264,37.0637
IB,24/04/2020,66.162,68.8743,94.439,28.7798,60.5273
IB,25/04/2020,65.1209,83.3492,40.7519,100.8413,60.8102
IB,26/04/2020,67.8158,93.1231,42.4707,81.8911,60.645
IB,27/04/2020,64.9205,101.6636,30.2094,9.8112,60.6774
IB,28/04/2020,65.8918,103.1031,55.6126,57.5145,60.6657
IB,29/04/2020,66.8692,106.5821,46.0029,88.2588,60.6686
IB,30/04/2020,66.7031,106.159,72.8318,23.938,60.6677
CN,24/04/2020,58.1602,60.8024,79.7525,84.6095,74.8529
CN,25/04/2020,79.5362,60.6139,88.2948,107.4205,56.1322
CN,26/04/2020,55.0033,60.6589,83.3085,103.8467,127.5779
CN,27/04/2020,115.1846,60.6622,38.2284,77.6486,0
CN,28/04/2020,27.4873,60.6623,4.8015,65.6477,163.1444
CN,29/04/2020,113.6943,60.6623,0,76.9772,0
CN,30/04/2020,26.6535,60.6623,10.78,101.5729,175.2658
CB,24/04/2020,62.4105,24.5898,63.5804,57.771,60.6292
CB,25/04/2020,67.5642,64.9362,60.2723,73.3653,64.3023
CB,26/04/2020,57.1834,20.5314,51.177,44.3167,58.4575
CB,27/04/2020,79.7653,63.2243,44.8746,126.3392,64.7982
CB,28/04/2020,65.0491,39.877,43.117,0,55.9856
CB,29/04/2020,84.8115,75.0363,37.6044,186.3348,64.4675
CB,30/04/2020,57.6811,5.0614,47.5979,0,56.0679
CM,24/04/2020,48.45,58.0727,90.3107,66.4874,64.0056
CM,25/04/2020,103.4976,57.9554,112.122,71.4032,67.3162
CM,26/04/2020,0,57.9749,83.8622,79.4538,60.6271
CM,27/04/2020,31.3017,57.9764,75.1838,83.1491,89.9674
CM,28/04/2020,61.6977,57.9763,90.5994,84.2716,88.1673
CM,29/04/2020,0,57.9763,79.4731,84.3473,100.6072
CM,30/04/2020,83.6901,57.9763,87.7843,84.3114,74.4476
CL,24/04/2020,0,63.2395,59.4561,42.7151,81.2352
CL,25/04/2020,0,64.7173,63.7394,0,84.8584
CL,26/04/2020,34.3221,63.0599,58.163,11.0683,97.8444
CL,27/04/2020,85.7372,65.6236,65.0756,15.6353,95.351
CL,28/04/2020,86.4755,62.4404,55.589,5.6862,99.0808
CL,29/04/2020,0,67.01,67.0346,17.8715,98.8917
CL,30/04/2020,0,61.444,48.6576,0.97933,99.0445
CT,24/04/2020,61.2081,55.8897,67.3499,62.8889,69.0042
CT,25/04/2020,72.3734,53.738,71.7475,68.1814,62.5556
CT,26/04/2020,49.3256,56.5838,74.8541,55.9875,81.4056
CT,27/04/2020,119.3514,56.3959,73.7038,82.7753,31.1327
CT,28/04/2020,29.7997,57.1357,67.7104,49.2592,52.8748
CT,29/04/2020,113.5688,57.1255,63.6426,66.8744,40.106
CT,30/04/2020,24.7687,57.2421,63.4074,57.7616,82.4936
CE,24/04/2020,29.1595,64.7708,48.2081,49.6848,91.4573
CE,25/04/2020,93.6669,65.7881,89.8811,68.3236,123.4614
CE,26/04/2020,0,67.6625,71.2462,34.4973,74.3753
CE,27/04/2020,131.7207,71.5553,89.399,0,59.3668
CE,28/04/2020,0,80.15,10.1799,0,69.4363
CE,29/04/2020,131.8397,96.9366,154.3385,0,126.9296
CE,30/04/2020,0,122.9514,37.1978,30.1143,150.3123
VC,24/04/2020,64.0334,61.7471,75.1825,57.005,55.6641
VC,25/04/2020,63.6121,63.055,54.5507,62.9051,81.5566
VC,26/04/2020,63.0109,61.8975,78.584,50.0945,49.161
VC,27/04/2020,62.362,62.8681,7.4368,57.0881,101.7777
VC,28/04/2020,61.8533,62.083,56.9396,42.8426,19.1013
VC,29/04/2020,61.5463,62.7657,7.5112,70.1519,73.4794
VC,30/04/2020,61.3835,62.2155,49.8239,57.9548,0
