CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,20/04/2020,78.0469,5.5089,61.8585,57.3838,34.1679
AN,21/04/2020,34.5936,139.4553,61.9809,56.1646,84.4174
AN,22/04/2020,63.4945,22.9788,62.1864,55.9385,22.8729
AN,23/04/2020,14.4099,186.8721,62.1847,55.724,58.5441
AN,24/04/2020,108.3101,12.6053,62.2025,55.5232,0
AN,25/04/2020,0,185.2013,62.2012,55.3068,32.8333
AN,26/04/2020,103.6358,16.4469,62.2028,55.0511,0
AR,20/04/2020,59.5853,44.1484,51.2744,98.3104,123.2502
AR,21/04/2020,59.4767,24.8589,48.6951,52.3331,55.4212
AR,22/04/2020,59.4685,77.1172,40.7438,61.0554,96.4143
AR,23/04/2020,59.4705,10.0474,37.7624,62.8637,64.4534
AR,24/04/2020,59.4711,173.1707,42.7821,101.0405,113.8833
AR,25/04/2020,59.4712,31.8155,51.7337,55.71,63.0088
AR,26/04/2020,59.4712,139.515,44.1129,61.2419,113.4569
AS,20/04/2020,58.2153,55.4398,57.3343,49.4277,54.9142
AS,21/04/2020,57.5566,84.6044,61.162,67.1659,49.9688
AS,22/04/2020,58.2872,2.9625,54.5142,20.698,49.5849
AS,23/04/2020,58.5139,55.0437,65.5548,64.6685,52.2295
AS,24/04/2020,58.3421,88.6103,39.6116,55.1449,52.2013
AS,25/04/2020,58.2571,3.3146,60.1566,66.2541,53.2396
AS,26/04/2020,58.3058,55.046,0,36.6894,53.3254
IB,20/04/2020,45.3558,68.1885,60.5352,54.9096,60.4556
IB,21/04/2020,54.304,84.7696,61.3772,48.9613,62.255
IB,22/04/2020,54.4843,84.4392,62.5614,55.8195,59.8749
IB,23/04/2020,49.4807,80.1214,64.4947,60.6646,68.2753
IB,24/04/2020,52.0391,77.6505,67.8928,67.3253,43.6441
IB,25/04/2020,56.7411,78.5483,72.8663,55.3323,150.9465
IB,26/04/2020,51.8923,81.1697,77.904,41.4051,0
CN,20/04/2020,39.4228,50.6534,49.3549,61.3107,78.9341
CN,21/04/2020,143.7995,51.5559,49.5496,62.6051,94.9739
CN,22/04/2020,0,44.2055,57.665,63.2817,92.5675
CN,23/04/2020,107.1396,48.3024,45.0391,62.8504,80.1927
CN,24/04/2020,0,44.1061,36.2263,61.0497,79.0428
CN,25/04/2020,110.9405,43.6244,15.4961,57.2464,79.8957
