CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,28/04/2020,46.5928,72.6174,69.8949,57.3974,84.72
AN,29/04/2020,0,66.6158,66.8153,14.3852,67.6735
AN,30/04/2020,46.5147,94.3432,78.2403,0,64.8886
AN,01/05/2020,0,47.8758,61.0957,0,88.8349
AN,02/05/2020,40.9897,121.7488,109.121,0,66.5093
AN,03/05/2020,0,3.8585,52.2077,0,57.6082
AN,04/05/2020,45.0111,67.382,125.7884,0,59.6542
AR,28/04/2020,74.9292,72.3808,44.6233,26.6121,72.4353
AR,29/04/2020,80.3074,68.8723,33.9251,44.5306,74.0678
AR,30/04/2020,77.2363,90.3726,43.1656,92.7555,71.8672
AR,01/05/2020,61.0133,27.3444,89.5827,63.8025,69.8677
AR,02/05/2020,69.313,65.655,110.5302,0,69.8708
AR,03/05/2020,74.8979,5.3343,108.5908,97.3139,71.057
AR,04/05/2020,78.0095,30.2784,79.1205,115.7473,71.7544
AS,28/04/2020,73.5839,63.8172,106.9291,89.9141,87.9299
AS,29/04/2020,83.3586,59.1984,65.9799,69.7881,116.903
AS,30/04/2020,82.3172,57.5048,70.8814,105.8714,167.3588
AS,01/05/2020,65.5801,58.1499,105.6336,73.1765,128.8132
AS,02/05/2020,59.8973,60.5889,66.3277,95.783,110.1249
AS,03/05/2020,39.6437,64.0741,72.895,75.2192,130.4249
AS,04/05/2020,0,65.7406,101.8802,125.9219,146.3615
IB,28/04/2020,55.7421,80.8747,56.806,63.6679,63.2213
IB,29/04/2020,60.4014,110.251,58.4025,101.1433,60.2275
IB,30/04/2020,80.4081,129.2483,55.2647,13.4299,60.1153
IB,01/05/2020,119.9963,129.6418,54.6335,105.61,61.9859
IB,02/05/2020,161.1608,119.8836,56.205,71.5501,63.4032
IB,03/05/2020,111.8698,98.4238,56.4417,86.0562,63.224
IB,04/05/2020,0,74.8162,55.6802,24.6782,62.409
CN,28/04/2020,81.0596,74.084,47.436,65.5846,60.9508
CN,29/04/2020,106.4901,64.6556,76.4221,63.4485,88.7312
CN,30/04/2020,112.5196,90.9642,28.914,64.3177,35.6982
CN,01/05/2020,66.4806,0,49.6949,66.3551,94.2611
CN,02/05/2020,18.5279,56.6621,49.304,67.0333,25.2387
CN,03/05/2020,52.2089,0,62.7006,65.7279,83.7649
CN,04/05/2020,39.3295,55.5852,33.7399,64.3925,0
CB,28/04/2020,76.6679,51.5639,67.2926,65.3992,50.7801
CB,29/04/2020,61.312,65.3261,66.3,73.1841,18.5307
CB,30/04/2020,61.3229,92.808,67.3448,62.7771,0
CB,01/05/2020,73.3199,135.8806,68.2432,100.796,47.034
CB,02/05/2020,61.0752,135.8332,66.8361,37.1845,80.7482
CB,03/05/2020,66.1048,97.8643,65.9685,79.6289,106.224
CB,04/05/2020,71.4439,129.3756,67.9703,32.2647,84.9087
CM,28/04/2020,65.8766,66.9343,56.1075,74.5599,63.6043
CM,29/04/2020,77.5392,58.9458,44.0358,77.7649,84.8016
CM,30/04/2020,29.6569,18.8872,23.1376,72.0677,43.234
CM,01/05/2020,105.1557,0,64.9592,61.5777,148.2956
CM,02/05/2020,12.4941,0,44.5126,49.177,19.2019
CM,03/05/2020,91.2447,48.7513,18.8518,42.7979,156.4662
CM,04/05/2020,15.3141,143.5517,70.3619,47.284,0
CL,28/04/2020,77.7921,60.1242,55.363,57.3703,94.2771
CL,29/04/2020,111.3157,52.7108,38.3252,49.4814,159.5551
CL,30/04/2020,41.2708,47.2854,4.4325,23.1428,93.4833
CL,01/05/2020,46.6642,29.8538,5.529,35.5264,102.1557
CL,02/05/2020,43.0918,0,9.1481,20.8677,156.7657
CL,03/05/2020,38.0422,0,6.1708,33.4517,99.4686
