CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,26/04/2020,58.1692,64.0565,77.4978,79.5485,40.6721
AN,27/04/2020,88.4975,66.2998,88.4699,37.1203,93.6601
AN,28/04/2020,0,62.2874,89.2437,174.3443,27.2838
AN,29/04/2020,130.6564,65.2836,81.0471,0,122.5904
AN,30/04/2020,0,61.6545,84.7039,207.0144,34.833
AN,01/05/2020,171.1456,65.1114,83.2119,0,122.272
AN,02/05/2020,0,60.8826,79.4459,215.3259,34.4551
AR,26/04/2020,56.7976,66.9527,49.6784,64.2789,70.2175
AR,27/04/2020,39.132,66.7835,0,65.2673,68.8088
AR,28/04/2020,0,69.4544,0.992,63.6253,71.5114
AR,29/04/2020,0,60.5936,14.1877,64.2986,69.6877
AR,30/04/2020,2.6857,79.5946,7.7873,62.9223,71.5334
AR,01/05/2020,76.6265,0,21.0044,63.1421,70.1122
AR,02/05/2020,89.3794,139.185,38.6242,62.1463,71.4082
AS,26/04/2020,65.0812,75.0456,46.6714,49.1565,103.9659
AS,27/04/2020,65.2665,76.7602,121.2388,84.9538,148.2574
AS,28/04/2020,64.6386,88.0049,0,0,150.3464
AS,29/04/2020,64.378,75.9617,121.8664,74.4805,117.3472
AS,30/04/2020,63.6884,35.3932,61.5196,0,16.0445
AS,01/05/2020,63.0879,12.784,107.281,52.3149,0
AS,02/05/2020,62.1909,0,0,0,0
IB,26/04/2020,49.7332,59.9087,88.3959,54.339,107.4342
IB,27/04/2020,35.533,34.3584,74.9175,43.7401,142.2637
IB,28/04/2020,71.6471,0,101.9781,50.3512,141.9338
IB,29/04/2020,4.1467,0,83.7501,55.898,58.4663
IB,30/04/2020,69.8513,0,107.7811,71.7179,64.763
IB,01/05/2020,0,14.4469,96.6908,106.8839,117.4279
IB,02/05/2020,63.6779,14.2404,100.851,101.6564,142.2679
CN,26/04/2020,66.2493,61.2826,75.5007,51.1308,77.3915
CN,27/04/2020,68.1137,39.2024,50.8715,35.7811,86.075
CN,28/04/2020,66.4081,7.0206,0,82.0736,82.3437
CN,29/04/2020,73.3559,0,0,141.3982,65.1448
CN,30/04/2020,57.9536,0,96.5785,19.9919,48.2763
CN,01/05/2020,85.9915,44.4023,86.8474,50.4731,33.1984
CN,02/05/2020,7.0256,62.3302,3.8836,26.0122,0
CB,26/04/2020,58.2837,68.2545,91.9329,60.7848,23.4826
CB,27/04/2020,63.7144,75.4762,64.6604,55.294,151.5803
CB,28/04/2020,49.4012,93.2751,27.8643,52.2695,13.9473
CB,29/04/2020,82.6969,101.6086,28.6554,52.8596,0
CB,30/04/2020,51.8275,93.849,24.1903,52.9788,0
CB,01/05/2020,121.491,37.0974,27.5929,53.3066,0.7102
CB,02/05/2020,50.2348,0,40.0483,53.7062,86.8212
CM,26/04/2020,61.5635,24.4177,71.6271,62.1237,58.7438
CM,27/04/2020,62.1195,44.8445,59.5344,61.3107,59.7095
CM,28/04/2020,60.4187,6.8813,79.9354,61.7627,69.0554
CM,29/04/2020,60.8105,0,22.0816,60.1773,44.266
CM,30/04/2020,59.7278,0,88.3628,62.0816,72.5789
CM,01/05/2020,60.0217,30.7869,19.2965,57.1807,61.509
CM,02/05/2020,59.1848,0,88.3874,64.3126,70.445
CL,26/04/2020,83.9522,60.0636,31.6333,0,72.3964
CL,27/04/2020,88.4266,69.1021,55.9472,88.6326,84.1265
CL,28/04/2020,29.287,57.6441,33.2802,0,103.2536
CL,29/04/2020,0,73.0318,73.1155,160.9773,96.2313
CL,30/04/2020,0,57.9246,22.3536,2.1713,112.0868
CL,01/05/2020,23.1431,76.2684,47.7341,160.0254,93.6435
CL,02/05/2020,121.7086,59.0517,14.8813,6.2513,111.5724
CT,26/04/2020,13.1342,49.3809,57.414,70.5522,54.6575
CT,27/04/2020,144.4489,67.7698,97.3469,73.077,84.5078
CT,28/04/2020,0,36.9716,30.6485,71.2641,62.2692
CT,29/04/2020,142.8941,65.1597,137.9013,70.124,100.8336
CT,30/04/2020,0,30.2112,0,70.3174,40.5931
CT,01/05/2020,144.7823,79.5662,156.8605,70.7594,124.5996
CT,02/05/2020,0,42.2602,0,70.8098,78.2318
CE,26/04/2020,21.7107,73.9068,65.1307,52.6135,54.4182
CE,27/04/2020,38.9579,75.5271,64.7847,0.66252,4.8949
CE,28/04/2020,0,73.9019,65.2003,22.5391,0
CE,29/04/2020,6.792,75.2276,65.3664,57.2862,0
CE,30/04/2020,0,73.9993,65.1816,39.6796,62.1027
CE,01/05/2020,0,75.0342,65.1101,0,155.1498
CE,02/05/2020,0,74.0973,65.1958,28.8908,83.6575
VC,26/04/2020,38.2283,57.3953,79.8951,83.0593,80.7102
VC,27/04/2020,51.0211,48.0557,69.1255,102.591,75.422
