CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,18/04/2020,67.289,54.6244,64.9332,56.6141,41.1208
AN,19/04/2020,36.9266,55.2829,49.6932,50.3737,43.3603
AN,20/04/2020,97.3814,54.3766,60.5984,21.3864,34.2382
AN,21/04/2020,16.9421,54.4207,34.0655,27.3832,58.6536
AN,22/04/2020,89.2032,54.3616,0.40253,14.4889,0
AN,23/04/2020,15.9473,54.3613,9.6725,44.6422,0
AN,24/04/2020,85.0251,54.3604,2.5702,33.3334,0
AR,18/04/2020,56.5469,24.6302,59.006,56.9356,71.877
AR,19/04/2020,63.2989,68.387,59.0014,49.2177,85.8854
AR,20/04/2020,46.996,1.9349,58.2719,40.273,86.7013
AR,21/04/2020,79.5133,55.8171,57.7668,44.0834,77.1295
AR,22/04/2020,25.4739,0,58.0188,49.154,103.3351
AR,23/04/2020,68.036,69.1121,58.55,70.8288,92.8517
AR,24/04/2020,16.1787,0,58.7097,128.8957,107.7794
AS,18/04/2020,15.8389,46.4393,69.4758,60.9666,67.0606
AS,19/04/2020,114.4886,131.0415,24.3384,77.0795,62.5477
AS,20/04/2020,0,93.4822,20.3563,101.0874,66.0122
AS,21/04/2020,80.7079,128.4246,34.6998,95.6827,63.5849
AS,22/04/2020,0,92.8417,45.9192,102.7519,65.4077
AS,23/04/2020,155.6541,126.5718,51.9026,102.7391,63.9943
AS,24/04/2020,0,93.3336,47.4995,102.7695,65.0715
IB,18/04/2020,79.9622,84.792,31.6062,66.4604,71.3474
IB,19/04/2020,25.9866,0,49.0547,72.2405,108.5837
IB,20/04/2020,127.7107,248.9513,95.8676,87.797,110.4777
IB,21/04/2020,0,0,128.3368,104.9406,112.4712
IB,22/04/2020,217.9497,232.0667,97.1096,114.4622,112.4022
IB,23/04/2020,0,0,84.1225,114.2387,113.3454
IB,24/04/2020,150.2572,253.0209,84.085,111.3908,112.7971
CN,18/04/2020,54.4519,60.6529,23.7034,42.6065,43.4676
CN,19/04/2020,60.1146,59.3435,11.8477,70.7212,49.1426
CN,20/04/2020,49.6914,68.6533,2.237,68.0571,40.2701
CN,21/04/2020,57.0426,84.7615,0,49.2654,79.5666
CN,22/04/2020,40.638,109.4919,13.8856,71.1332,71.2941
CN,23/04/2020,38.7179,130.3306,33.5499,58.4486,42.6833
CN,24/04/2020,36.2121,136.3,105.3434,46.4759,38.9846
CB,18/04/2020,63.4592,164.6281,50.5506,49.8199,50.9347
CB,19/04/2020,67.7555,240.3178,82.573,72.7356,56.6879
CB,20/04/2020,66.5442,161.0128,9.9821,49.9161,50.5281
CB,21/04/2020,61.6462,33.7817,95.8793,85.0382,56.0839
CB,22/04/2020,61.1111,4.441,0,54.9017,51.2511
CB,23/04/2020,61.9432,0,97.9684,111.1068,55.5398
CB,24/04/2020,62.8288,0,0,60.5486,52.18
CM,18/04/2020,57.2528,43.5914,35.3505,13.0413,35.9728
CM,19/04/2020,56.3739,27.5658,41.5087,178.0364,22.381
CM,20/04/2020,54.217,63.3193,44.4788,0,68.5128
CM,21/04/2020,50.3376,36.6466,51.0823,145.6196,20.379
CM,22/04/2020,49.1478,52.1352,60.3359,0,54.6021
CM,23/04/2020,49.1063,37.7181,41.5705,136.5727,0
CM,24/04/2020,48.1914,55.1956,31.6675,0,0
CL,18/04/2020,45.913,30.198,5.1385,0,36.7815
CL,19/04/2020,41.1308,51.5462,0,2.1028,68.9887
CL,20/04/2020,52.292,20.8901,37.191,2.6562,13.1938
CL,21/04/2020,25.941,21.5406,24.7137,3.2764,38.8463
CL,22/04/2020,0,27.1234,0,3.2712,0
CL,23/04/2020,0,40.0854,20.4381,3.2402,19.7128
CL,24/04/2020,50.8199,25.6765,26.04,3.2423,20.9349
CT,18/04/2020,54.3588,51.5262,44.6479,64.3533,67.3048
CT,19/04/2020,40.6356,51.628,24.1792,65.359,66.0213
CT,20/04/2020,37.3835,49.4995,32.5051,44.0918,69.6555
CT,21/04/2020,36.939,49.0485,42.9822,0,71.9967
CT,22/04/2020,33.0425,47.2435,73.0565,0,73.7701
CT,23/04/2020,31.1861,46.6315,74.1134,3.6618,75.3287
CT,24/04/2020,32.4317,46.2934,38.8891,47.3487,76.9205
CE,18/04/2020,37.9785,39.6489,49.441,74.2607,73.1387
CE,19/04/2020,18.4294,76.4318,66.1311,32.9065,42.6789
CE,20/04/2020,3.7035,51.614,103.8355,88.5219,118.7565
CE,21/04/2020,13.5357,78.8931,71.2585,1.9831,10.7086
CE,22/04/2020,16.2155,18.0379,51.5676,91.8308,93.2755
CE,23/04/2020,0,112.0369,53.6246,0,20.4049
CE,24/04/2020,19.559,23.7363,57.0336,99.5852,93.1215
VC,18/04/2020,13.9341,58.1473,34.5821,49.3688,49.1099
VC,19/04/2020,145.0929,57.9676,100.2803,74.9908,50.7755
VC,20/04/2020,0,57.8598,37.8588,49.2988,50.4168
VC,21/04/2020,120.387,57.8457,100.8547,121.8401,50.2299
VC,22/04/2020,0,57.8595,51.3136,51.6714,50.3581
VC,23/04/2020,140.484,57.8685,88.5777,160.8391,50.3394
VC,24/04/2020,0,57.8699,25.8259,69.304,50.3248
EX,18/04/2020,70.2701,44.041,41.5501,29.7278,61.0885
EX,19/04/2020,56.0124,38.2748,0,52.2798,61.8008
EX,20/04/2020,103.3648,56.9756,0,3.0031,60.5348
EX,21/04/2020,54.1133,47.8972,49.7625,67.3245,60.3939
EX,22/04/2020,139.2504,51.4708,122.2934,41.2721,60.5025
EX,23/04/2020,52.3043,72.1058,88.3064,59.6703,60.5375
EX,24/04/2020,139.3821,38.5196,0,0,60.5163
GA,18/04/2020,32.3635,62.7582,76.3806,48.3888,63.3047
GA,19/04/2020,70.4009,71.8202,75.1867,52.1298,92.3004
GA,20/04/2020,0,83.9004,93.037,55.1511,105.1616
GA,21/04/2020,133.5074,85.6059,81.7102,53.5189,105.1003
GA,22/04/2020,0,77.259,85.1067,58.4363,105.0381
GA,23/04/2020,126.7473,73.7594,85.356,41.5365,105.0378
GA,24/04/2020,0,73.8191,88.1561,41.901,105.0389
MD,18/04/2020,71.0689,52.371,68.5655,56.2695,81.8555
MD,19/04/2020,31.0823,57.3337,77.5077,54.4215,80.4011
MD,20/04/2020,4.5933,48.2391,102.8092,54.0238,88.8907
MD,21/04/2020,0,49.1803,92.1828,56.0575,90.4848
MD,22/04/2020,21.1111,49.8369,101.4757,56.4746,89.2811
MD,23/04/2020,53.8577,52.2135,102.7023,55.9346,89.0214
MD,24/04/2020,63.0078,51.0107,103.2233,55.3626,89.0669
ML,18/04/2020,59.0462,30.0594,49.6778,28.5952,63.5621
ML,19/04/2020,58.8,92.8997,68.2586,70.4917,46.3373
ML,20/04/2020,58.0126,0,0,0,90.9348
ML,21/04/2020,57.9018,23.4939,85.7146,69.3217,19.2136
ML,22/04/2020,58.4521,40.8739,0,0,82.9442
ML,23/04/2020,58.6889,0,72.7032,69.3246,36.5957
ML,24/04/2020,58.414,34.5948,0,0,77.6624
MC,18/04/2020,47.1232,56.4592,64.5452,58.052,40.0041
MC,19/04/2020,34.8876,54.3044,78.8193,59.6681,68.6822
MC,20/04/2020,49.3001,52.7224,103.1242,59.0391,5.0947
MC,21/04/2020,105.7286,52.1888,105.2912,61.5711,81.8682
MC,22/04/2020,22.5528,52.6487,88.1795,59.6829,0
MC,23/04/2020,87.7652,53.7974,36.9407,63.1378,79.5011
MC,24/04/2020,0,55.0238,102.7976,59.876,0
NC,18/04/2020,50.6106,79.3049,63.3962,43.3207,60.1509
NC,19/04/2020,21.1486,74.9292,71.6396,83.7195,61.2612
NC,20/04/2020,0,45.0032,75.2358,0,62.7352
NC,21/04/2020,0,21.3453,79.2039,97.6862,63.0825
NC,22/04/2020,65.8711,0,81.8427,0,63.192
NC,23/04/2020,122.8773,0,90.3296,64.3585,63.1658
NC,24/04/2020,21.2796,0,83.1298,0,63.1444
PV,18/04/2020,60.6854,61.2573,55.0591,25.3238,58.1365
PV,19/04/2020,60.8363,63.951,55.2325,105.5166,58.1832
PV,20/04/2020,60.7936,64.887,51.1206,0,58.1888
PV,21/04/2020,60.79,64.9961,61.8388,121.0492,58.1902
PV,22/04/2020,60.7906,64.9199,63.471,0,58.1904
PV,23/04/2020,60.7907,64.8715,65.4731,116.6224,58.1905
PV,24/04/2020,60.7907,64.8622,68.1399,0,58.1905
RI,18/04/2020,59.7756,45.9009,55.6682,56.6353,59.7023
RI,19/04/2020,60.3746,36.5941,56.6159,55.2227,62.086
RI,20/04/2020,59.666,37.6311,55.3216,56.2914,66.1803
RI,21/04/2020,58.4398,45.7725,55.4016,60.0917,77.5157
RI,22/04/2020,58.2581,58.6903,55.0384,58.5637,101.1927
RI,23/04/2020,59.0547,50.341,55.0751,55.9783,104.0793
RI,24/04/2020,59.6241,43.9622,55.0878,54.9406,105.652
