CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,29/04/2020,59.956,75.9047,83.755,83.4132,59.9678
AN,30/04/2020,57.4687,99.4956,169.8455,83.7081,71.2019
AN,01/05/2020,61.5235,89.358,193.5777,84.4088,47.6855
AN,02/05/2020,60.4724,59.9996,127.6487,84.4082,42.3029
AN,03/05/2020,61.1514,22.6067,66.53,84.4101,51.7462
AN,04/05/2020,61.0673,22.9324,18.9463,84.4101,20.1011
AN,05/05/2020,61.103,24.1143,0,84.4101,50.4429
AR,29/04/2020,67.7994,66.5262,45.6877,65.503,69.3976
AR,30/04/2020,71.5335,63.9637,112.134,64.4938,69.6972
AR,01/05/2020,64.3865,64.498,1.8418,67.1335,69.7365
AR,02/05/2020,80.2319,66.8328,124.0977,67.3636,69.8626
AR,03/05/2020,67.6634,68.1452,1.3901,66.1366,69.816
AR,04/05/2020,70.4276,67.0926,138.5187,65.827,69.9014
AR,05/05/2020,65.3126,65.2588,1.6263,66.7587,69.8345
AS,29/04/2020,92.115,26.0044,86.7831,71.9058,94.3664
AS,30/04/2020,122.4973,0,185.8431,77.9463,108.7545
AS,01/05/2020,120.6855,0,161.9483,96.2705,130.6305
AS,02/05/2020,84.0194,0,104.0745,106.4008,130.1942
AS,03/05/2020,69.0647,36.9552,0,105.9429,130.7513
AS,04/05/2020,83.837,53.5399,0,90.2678,130.7484
AS,05/05/2020,116.8612,72.3603,0,98.1481,130.7498
IB,29/04/2020,137.5356,52.1853,71.4514,65.4245,141.4759
IB,30/04/2020,0,109.4091,74.5689,62.5677,170.2068
IB,01/05/2020,103.8858,0,69.9459,61.5279,145.3256
IB,02/05/2020,0,27.5003,54.5333,61.8424,119.7432
IB,03/05/2020,35.9453,49.8746,12.9459,62.2718,126.2397
IB,04/05/2020,0,20.8617,68.7857,62.3822,170.5973
IB,05/05/2020,0,35.7384,91.3736,62.3675,144.3025
CN,29/04/2020,56.5207,61.8753,67.9974,54.7438,58.7826
CN,30/04/2020,51.214,65.2451,66.7008,75.4483,27.788
CN,01/05/2020,41.0857,62.3679,65.4731,46.2547,0
CN,02/05/2020,23.3944,62.9885,64.1272,81.8842,0
CN,03/05/2020,0,63.0546,62.1066,34.666,0
CN,04/05/2020,0.67512,62.8676,57.9308,86.5421,46.4551
CN,05/05/2020,12.5505,62.9279,50.1859,47.188,119.8851
CB,29/04/2020,82.7328,79.6978,67.8825,0,62.0869
CB,30/04/2020,126.344,59.4558,71.41,7.5367,83.6176
CB,01/05/2020,164.1242,35.2685,63.9247,47.1573,29.3844
CB,02/05/2020,156.3521,113.1823,72.82,109.1394,91.4812
CB,03/05/2020,155.9644,0,57.5298,0,82.9304
CB,04/05/2020,155.9993,70.3449,59.4631,17.6908,88.8672
CB,05/05/2020,156.0002,7.5594,62.0763,67.942,60.2775
CM,29/04/2020,65.9795,74.7676,57.1539,79.3476,111.2775
CM,30/04/2020,65.7324,84.5044,72.3996,100.7012,124.8616
CM,01/05/2020,65.2055,84.5827,63.7479,120.6354,118.7461
CM,02/05/2020,65.3477,103.3454,51.3531,126.4973,118.3511
CM,03/05/2020,65.1372,56.5092,41.8341,146.7627,118.3593
CM,04/05/2020,65.2644,23.826,31.0131,128.3943,118.3606
CM,05/05/2020,65.1486,0,47.1746,114.6838,118.3606
CL,29/04/2020,111.5652,44.3316,34.2314,64.5221,68.6541
CL,30/04/2020,104.3645,143.9213,64.6351,38.2588,67.2009
CL,01/05/2020,53.84,31.6391,33.2672,0,64.8768
CL,02/05/2020,54.1992,123.8664,55.2513,0,61.5265
CL,03/05/2020,90.001,35.7153,28.8513,0,55.4836
CL,04/05/2020,91.4272,123.8621,66.3319,31.1786,39.5404
CL,05/05/2020,54.4448,35.9146,37.7485,102.8488,51.492
CT,29/04/2020,76.833,0,73.4573,82.0183,23.3313
CT,30/04/2020,37.8776,0,82.5949,127.4538,40.6088
CT,01/05/2020,168.6831,0,100.042,59.3081,64.2509
CT,02/05/2020,0,0,106.4496,80.7186,74.9594
CT,03/05/2020,203.7144,0,108.4276,117.1077,23.4456
CT,04/05/2020,0,0,108.3646,74.985,51.1506
CT,05/05/2020,155.9841,0,108.3412,168.4488,79.0113
CE,29/04/2020,71.7124,70.4342,77.1149,91.669,35.3219
CE,30/04/2020,66.0538,70.2945,92.1861,53.645,0
CE,01/05/2020,72.1796,70.1568,78.2433,10.8034,0
CE,02/05/2020,62.1111,70.1897,0,48.285,0
CE,03/05/2020,75.7316,70.2097,0,96.6279,25.09
CE,04/05/2020,40.9282,70.2032,77.6895,50.7,125.188
CE,05/05/2020,201.3414,70.2005,36.4642,15.1296,129.5714
VC,29/04/2020,18.9966,67.9019,80.4785,64.5009,73.1382
VC,30/04/2020,134.2176,67.3551,77.22,57.7838,83.5153
VC,01/05/2020,6.2772,67.2628,102.5693,54.58,89.731
VC,02/05/2020,136.7018,67.3257,93.9998,57.2206,94.6765
VC,03/05/2020,0,67.3726,114.0774,60.7169,100.9302
VC,04/05/2020,136.3235,67.3794,99.1476,64.5986,106.647
VC,05/05/2020,0,67.3725,114.2832,66.5263,112.0905
EX,29/04/2020,30.1206,64.9777,63.4334,64.8178,73.7285
EX,30/04/2020,7.2542,83.7118,39.3216,40.5243,79.6033
EX,01/05/2020,0,53.68,0,27.537,83.4328
EX,02/05/2020,0,156.4075,0,46.7715,83.8099
EX,03/05/2020,0,50.1517,2.4669,82.6015,80.6725
EX,04/05/2020,11.1861,203.8296,42.8475,67.1258,73.3133
EX,05/05/2020,107.158,48.5938,163.3139,7.2148,58.3159
GA,29/04/2020,31.9303,35.2993,72.6473,71.3022,26.353
GA,30/04/2020,32.3923,72.7652,72.0088,65.5858,216.4706
