CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,25/04/2020,32.9435,92.4448,58.9156,54.4319,31.3756
AN,26/04/2020,103.1273,110.7914,43.5487,19.8665,149.5544
AN,27/04/2020,0,110.764,17.7569,0,28.1961
AN,28/04/2020,175.8382,104.6025,19.0312,0,144.8848
AN,29/04/2020,0,100.6421,20.3047,0,18.6357
AN,30/04/2020,135.7253,103.8653,21.5808,0,141.0523
AN,01/05/2020,0,108.8918,22.7273,17.0254,0
AR,25/04/2020,59.7848,63.9495,74.0924,51.6166,59.1734
AR,26/04/2020,54.0877,58.2372,90.1264,24.6369,54.9197
AR,27/04/2020,55.4913,38.3445,83.9222,0,59.9252
AR,28/04/2020,58.8519,20.6371,95.9644,0,57.9662
AR,29/04/2020,61.3526,0,84.7167,0,60.0487
AR,30/04/2020,61.291,0,78.7975,5.4962,59.4604
AR,01/05/2020,59.4837,0,88.6121,120.3145,60.1119
AS,25/04/2020,63.6742,38.8093,107.2955,64.9891,26.6122
AS,26/04/2020,62.859,0,143.8028,67.3467,76.4113
AS,27/04/2020,63.0258,0,140.9571,65.9585,65.195
AS,28/04/2020,63.4459,17.9913,87.164,72.9616,14.2085
AS,29/04/2020,63.5662,101.469,17.636,71.4222,98.081
AS,30/04/2020,63.4339,163.9473,14.8259,84.0586,92.2172
AS,01/05/2020,63.3282,85.3608,36.068,91.7995,39.0938
IB,25/04/2020,61.7387,97.9901,0,48.6765,75.6769
IB,26/04/2020,62.0855,89.3637,151.5464,86.2582,24.1133
IB,27/04/2020,62.1294,105.2162,0,0,173.4072
IB,28/04/2020,62.1125,122.2635,73.007,212.3155,58.6265
IB,29/04/2020,62.1141,110.6043,27.7161,0,162.385
IB,30/04/2020,62.1143,105.0622,0,212.3005,59.0087
IB,01/05/2020,62.1142,105.1182,36.9319,0,162.385
CN,25/04/2020,62.23,63.2786,82.5134,83.073,38.9315
CN,26/04/2020,72.1757,65.8122,94.1164,85.9774,36.8411
CN,27/04/2020,34.3244,61.0952,99.9406,39.3398,66.4626
CN,28/04/2020,92.233,67.2156,100.4003,68.7275,83.506
CN,29/04/2020,0,53.8197,98.5998,69.0706,70.0858
CN,30/04/2020,25.5557,67.7953,96.4347,70.2944,36.1387
CN,01/05/2020,0,40.5321,95.6419,69.7344,7.8157
CB,25/04/2020,58.5069,69.4938,86.2293,62.8696,84.8238
CB,26/04/2020,56.3647,72.293,86.7624,60.1962,95.6572
CB,27/04/2020,60.8136,81.3925,54.7087,60.8986,95.6685
CB,28/04/2020,70.606,86.7828,0,65.395,95.5776
