CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,19/04/2020,57.6728,47.6365,63.223,7.3259,47.6599
AN,20/04/2020,62.1269,70.633,71.3143,0,69.2801
AN,21/04/2020,51.9997,17.3288,76.9351,0,52.5635
AN,22/04/2020,79.9049,0,68.045,21.5158,66.6695
AN,23/04/2020,38.8027,0,82.8086,54.9122,68.5126
AN,24/04/2020,66.3896,0,83.7779,74.9816,75.9959
AN,25/04/2020,41.8135,0,81.7437,34.9753,84.5199
AR,19/04/2020,40.6213,69.3566,58.8254,37.162,20.874
AR,20/04/2020,49.2103,69.5519,58.7145,33.4428,85.2495
AR,21/04/2020,38.5069,69.5792,58.728,42.2086,0
AR,22/04/2020,75.5478,69.5803,58.7412,57.9145,95.9563
AR,23/04/2020,114.3458,69.5805,58.7405,84.5017,0
AR,24/04/2020,77.8257,69.5805,58.739,68.3144,95.1172
AR,25/04/2020,0,69.5805,58.739,36.5558,0
AS,19/04/2020,0,75.995,58.5458,46.6198,46.4685
AS,20/04/2020,132.6784,72.6615,57.1233,14.4524,44.1299
AS,21/04/2020,76.4548,78.9718,57.2812,0,48.2384
AS,22/04/2020,14.7436,87.8888,58.7807,0,46.259
AS,23/04/2020,89.1867,93.8869,59.4119,2.3275,50.3194
AS,24/04/2020,70.0459,94.2754,57.7478,77.2249,47.9031
AS,25/04/2020,0,93.2518,56.6177,108.3259,53.3566
IB,19/04/2020,54.4152,47.3472,36.5738,53.4108,51.4295
IB,20/04/2020,50.1313,50.7136,59.4415,80.741,66.221
IB,21/04/2020,40.8694,60.465,48.637,37.9577,42.4986
IB,22/04/2020,38.0719,30.5707,52.0166,110.6777,11.7321
IB,23/04/2020,42.7326,56.8148,55.5959,114.9973,21.9606
IB,24/04/2020,42.268,0,49.3323,0,45.2501
IB,25/04/2020,40.1313,109.1845,58.4555,70.4897,125.9436
CN,19/04/2020,53.1021,55.9039,59.215,57.6992,65.8801
CN,20/04/2020,63.7754,55.8306,59.1062,55.9234,72.5987
CN,21/04/2020,50.5785,55.8173,59.0759,53.835,92.3771
CN,22/04/2020,67.1638,55.821,59.0716,51.9468,90.9321
CN,23/04/2020,51.2159,55.8226,59.0714,51.2641,97.5704
CN,24/04/2020,64.2553,55.8226,59.0715,51.6495,97.9959
CN,25/04/2020,50.4224,55.8225,59.0715,52.057,97.5816
CB,19/04/2020,59.1808,69.8349,13.5742,44.0645,64.9902
CB,20/04/2020,58.1697,36.3597,0,86.0007,77.0126
CB,21/04/2020,57.9546,105.0313,16.929,12.1891,73.67
CB,22/04/2020,59.2354,0,24.2622,34.0717,73.1289
CB,23/04/2020,59.0933,126.8758,0,12.1751,75.4489
CB,24/04/2020,57.9129,0,0,49.6952,78.0147
CB,25/04/2020,58.0355,126.8757,0,0,78.3175
CM,19/04/2020,44.3734,28.5062,51.2881,37.5209,95.3154
CM,20/04/2020,27.7201,48.0328,27.324,42.7651,34.1234
CM,21/04/2020,50.2723,52.8912,75.157,74.9648,126.4398
CM,22/04/2020,10.1927,54.0864,78.8775,40.1135,0
CM,23/04/2020,18.708,38.7931,22.8888,44.8222,105.2068
CM,24/04/2020,19.147,53.2766,0,66.8977,0
CM,25/04/2020,17.8336,75.5638,0,40.4473,109.4871
CL,19/04/2020,77.4756,29.3415,62.9839,56.5325,0
CL,20/04/2020,67.1841,0,73.6018,71.1801,157.5562
CL,21/04/2020,78.6106,0,78.385,47.3032,0
CL,22/04/2020,77.1354,13.1325,77.0168,187.0449,134.0445
CL,23/04/2020,78.7512,57.408,67.9679,31.6046,6.7758
CL,24/04/2020,78.7136,129.7593,30.1102,180.9088,120.3388
CL,25/04/2020,78.7401,135.732,0,25.6782,0
CT,19/04/2020,88.9442,45.0658,86.6605,66.9158,41.3421
CT,20/04/2020,53.8477,52.2384,114.5038,67.0086,0
CT,21/04/2020,155.2024,59.0695,114.5349,87.263,0
CT,22/04/2020,49.5011,50.8815,89.3836,62.404,14.0158
CT,23/04/2020,118.8287,46.568,42.5578,132.8006,26.9325
CT,24/04/2020,48.8942,63.2765,74.5294,40.7824,12.3032
CT,25/04/2020,119.6962,73.3216,124.7573,57.6137,6.5309
CE,19/04/2020,68.1197,65.2686,30.6325,31.8193,28.4207
CE,20/04/2020,68.969,65.178,79.7918,23.1889,90.7866
CE,21/04/2020,64.9772,65.0028,0,44.8539,0
CE,22/04/2020,61.2673,65.0104,52.5601,51.3694,98.3707
CE,23/04/2020,66.3165,65.0089,50.6221,78.7611,14.0891
CE,24/04/2020,69.1366,65.009,55.3058,72.2639,153.8816
CE,25/04/2020,67.3381,65.009,42.4212,0,7.5395
VC,19/04/2020,57.9548,53.6637,49.8325,55.7666,29.2438
VC,20/04/2020,61.6255,53.1708,42.0802,53.7276,0
VC,21/04/2020,52.0904,54.4049,52.7151,50.6412,0
VC,22/04/2020,63.652,54.2477,56.3127,40.1725,35.5362
VC,23/04/2020,46.9201,54.3092,53.9758,12.7939,82.5497
VC,24/04/2020,45.1605,54.3044,50.9813,32.93,109.6792
VC,25/04/2020,40.006,54.3048,53.6342,23.6449,104.0168
EX,19/04/2020,34.9803,74.5436,27.5311,0,47.7284
EX,20/04/2020,3.658,56.3623,3.1976,47.6336,33.9418
EX,21/04/2020,7.7316,136.397,0,21.8581,38.8555
EX,22/04/2020,0,0,0,48.8882,28.3175
EX,23/04/2020,0,157.9938,0,54.3888,39.8394
EX,24/04/2020,27.1184,16.0526,74.5705,30.7751,7.2703
EX,25/04/2020,15.1869,160.3064,108.0326,67.314,136.715
GA,19/04/2020,54.479,62.546,20.9672,87.8335,66.3628
GA,20/04/2020,62.6233,70.3812,24.9709,103.1579,59.7341
GA,21/04/2020,36.7725,95.1606,0,107.2577,88.5959
GA,22/04/2020,60.5019,125.4019,62.6203,103.1735,17.2747
GA,23/04/2020,2.9613,127.8367,0,87.6478,124.8999
GA,24/04/2020,0,86.5619,147.7317,61.8312,8.3928
GA,25/04/2020,0,48.4461,0,24.9766,129.2296
MD,19/04/2020,12.3906,0,64.3996,37.7407,59.8602
MD,20/04/2020,75.0999,0,48.2902,62.9098,57.5745
MD,21/04/2020,19.3571,0,103.8159,42.3929,60.8536
MD,22/04/2020,69.1424,0,2.5999,55.263,56.2842
MD,23/04/2020,30.7175,0,98.6183,57.6643,60.068
MD,24/04/2020,44.5729,0,21.1057,38.9797,57.7639
MD,25/04/2020,39.3785,0,98.4506,63.2533,60.2706
ML,19/04/2020,60.64,69.5655,62.5408,57.1183,54.8688
ML,20/04/2020,66.6746,57.3147,62.4414,53.857,45.4809
ML,21/04/2020,87.2953,75.5296,62.429,53.7259,20.0559
